Track,Position,Driver,Win
Bahrain,1,Lewis Hamilton,1
Bahrain,2,Max Verstappen,0
Bahrain,3,Valtteri Bottas,0
Bahrain,4,Lando Norris,0
Bahrain,5,Sergio Perez,0
Bahrain,6,Charles Leclerc,0
Bahrain,7,Daniel Ricciardo,0
Bahrain,8,Carlos Sainz,0
Bahrain,9,Yuki Tsunoda,0
Bahrain,10,Lance Stroll,0
Bahrain,11,Kimi Raikkönen,0
Bahrain,12,Antonio Giovinazzi,0
Bahrain,13,Esteban Ocon,0
Bahrain,14,George Russell,0
Bahrain,15,Sebastian Vettel,0
Bahrain,16,Mick Schumacher,0
Bahrain,17,Pierre Gasly,0
Bahrain,18,Nicholas Latifi,0
Emilia Romagna,1,Max Verstappen,1
Emilia Romagna,2,Lewis Hamilton,0
Emilia Romagna,3,Lando Norris,0
Emilia Romagna,4,Charles Leclerc,0
Emilia Romagna,5,Carlos Sainz,0
Emilia Romagna,6,Daniel Ricciardo,0
Emilia Romagna,7,Pierre Gasly,0
Emilia Romagna,8,Lance Stroll,0
Emilia Romagna,9,Esteban Ocon,0
Emilia Romagna,10,Fernando Alonso,0
Emilia Romagna,11,Sergio Perez,0
Emilia Romagna,12,Yuki Tsunoda,0
Emilia Romagna,13,Kimi Raikkönen,0
Emilia Romagna,14,Antonio Giovinazzi,0
Emilia Romagna,15,Sebastian Vettel,0
Emilia Romagna,16,Mick Schumacher,0
Emilia Romagna,17,Nikita Mazepin,0
Portugal,1,Lewis Hamilton,1
Portugal,2,Max Verstappen,0
Portugal,3,Valtteri Bottas,0
Portugal,4,Sergio Perez,0
Portugal,5,Lando Norris,0
Portugal,6,Charles Leclerc,0
Portugal,7,Esteban Ocon,0
Portugal,8,Fernando Alonso,0
Portugal,9,Daniel Ricciardo,0
Portugal,10,Pierre Gasly,0
Portugal,11,Carlos Sainz,0
Portugal,12,Antonio Giovinazzi,0
Portugal,13,Sebastian Vettel,0
Portugal,14,Lance Stroll,0
Portugal,15,Yuki Tsunoda,0
Portugal,16,George Russell,0
Portugal,17,Mick Schumacher,0
Portugal,18,Nicholas Latifi,0
Portugal,19,Nikita Mazepin,0
Spain,1,Lewis Hamilton,1
Spain,2,Max Verstappen,0
Spain,3,Valtteri Bottas,0
Spain,4,Charles Leclerc,0
Spain,5,Sergio Perez,0
Spain,6,Daniel Ricciardo,0
Spain,7,Carlos Sainz,0
Spain,8,Lando Norris,0
Spain,9,Esteban Ocon,0
Spain,10,Pierre Gasly,0
Spain,11,Lance Stroll,0
Spain,12,Kimi Raikkönen,0
Spain,13,Sebastian Vettel,0
Spain,14,George Russell,0
Spain,15,Antonio Giovinazzi,0
Spain,16,Nicholas Latifi,0
Spain,17,Fernando Alonso,0
Spain,18,Mick Schumacher,0
Spain,19,Nikita Mazepin,0
Monaco,1,Max Verstappen,1
Monaco,2,Carlos Sainz,0
Monaco,3,Lando Norris,0
Monaco,4,Sergio Perez,0
Monaco,5,Sebastian Vettel,0
Monaco,6,Pierre Gasly,0
Monaco,7,Lewis Hamilton,0
Monaco,8,Lance Stroll,0
Monaco,9,Esteban Ocon,0
Monaco,10,Antonio Giovinazzi,0
Monaco,11,Kimi Raikkönen,0
Monaco,12,Daniel Ricciardo,0
Monaco,13,Fernando Alonso,0
Monaco,14,George Russell,0
Monaco,15,Nicholas Latifi,0
Monaco,16,Yuki Tsunoda,0
Monaco,17,Nikita Mazepin,0
Monaco,18,Mick Schumacher,0
Azerbaijan,1,Sergio Perez,1
Azerbaijan,2,Sebastian Vettel,0
Azerbaijan,3,Pierre Gasly,0
Azerbaijan,4,Charles Leclerc,0
Azerbaijan,5,Lando Norris,0
Azerbaijan,6,Fernando Alonso,0
Azerbaijan,7,Yuki Tsunoda,0
Azerbaijan,8,Carlos Sainz,0
Azerbaijan,9,Daniel Ricciardo,0
Azerbaijan,10,Kimi Raikkönen,0
Azerbaijan,11,Antonio Giovinazzi,0
Azerbaijan,12,Valtteri Bottas,0
Azerbaijan,13,Mick Schumacher,0
Azerbaijan,14,Nikita Mazepin,0
Azerbaijan,15,Lewis Hamilton,0
Azerbaijan,16,Nicholas Latifi,0
Azerbaijan,17,George Russell,0
Azerbaijan,18,Max Verstappen,0
France,1,Max Verstappen,1
France,2,Lewis Hamilton,0
France,3,Sergio Perez,0
France,4,Valtteri Bottas,0
France,5,Lando Norris,0
France,6,Daniel Ricciardo,0
France,7,Pierre Gasly,0
France,8,Fernando Alonso,0
France,9,Sebastian Vettel,0
France,10,Lance Stroll,0
France,11,Carlos Sainz,0
France,12,George Russell,0
France,13,Yuki Tsunoda,0
France,14,Esteban Ocon,0
France,15,Antonio Giovinazzi,0
France,16,Charles Leclerc,0
France,17,Kimi Raikkönen,0
France,18,Nicholas Latifi,0
France,19,Mick Schumacher,0
France,20,Nikita Mazepin,0
Styria,1,Max Verstappen,1
Styria,2,Lewis Hamilton,0
Styria,3,Valtteri Bottas,0
Styria,4,Sergio Perez,0
Styria,5,Lando Norris,0
Styria,6,Carlos Sainz,0
Styria,7,Charles Leclerc,0
Styria,8,Lance Stroll,0
Styria,9,Fernando Alonso,0
Styria,10,Yuki Tsunoda,0
Styria,11,Kimi Raikkönen,0
Styria,12,Sebastian Vettel,0
Styria,13,Daniel Ricciardo,0
Styria,14,Esteban Ocon,0
Styria,15,Antonio Giovinazzi,0
Styria,16,Mick Schumacher,0
Styria,17,Nicholas Latifi,0
Styria,18,Nikita Mazepin,0
Austria,1,Max Verstappen,1
Austria,2,Valtteri Bottas,0
Austria,3,Lando Norris,0
Austria,4,Lewis Hamilton,0
Austria,5,Carlos Sainz,0
Austria,6,Sergio Perez,0
Austria,7,Daniel Ricciardo,0
Austria,8,Charles Leclerc,0
Austria,9,Pierre Gasly,0
Austria,10,Fernando Alonso,0
Austria,11,George Russell,0
Austria,12,Yuki Tsunoda,0
Austria,13,Lance Stroll,0
Austria,14,Antonio Giovinazzi,0
Austria,15,Kimi Raikkönen,0
Austria,16,Nicholas Latifi,0
Austria,17,Sebastian Vettel,0
Austria,18,Mick Schumacher,0
Austria,19,Nikita Mazepin,0
Great Britain,1,Lewis Hamilton,1
Great Britain,2,Charles Leclerc,0
Great Britain,3,Valtteri Bottas,0
Great Britain,4,Lando Norris,0
Great Britain,5,Daniel Ricciardo,0
Great Britain,6,Carlos Sainz,0
Great Britain,7,Fernando Alonso,0
Great Britain,8,Lance Stroll,0
Great Britain,9,Esteban Ocon,0
Great Britain,10,Yuki Tsunoda,0
Great Britain,11,Pierre Gasly,0
Great Britain,12,George Russell,0
Great Britain,13,Antonio Giovinazzi,0
