Track,Position,Driver,Win
Bahrain,1,Charles Leclerc,1
Bahrain,2,Carlos Sainz,0
Bahrain,3,Lewis Hamilton,0
Bahrain,4,George Russell,0
Bahrain,5,Kevin Magnussen,0
Bahrain,6,Valtteri Bottas,0
Bahrain,7,Esteban Ocon,0
Bahrain,8,Yuki Tsunoda,0
Bahrain,9,Fernando Alonso,0
Bahrain,10,Guanyu Zhou,0
Bahrain,11,Mick Schumacher,0
Bahrain,12,Lance Stroll,0
Bahrain,13,Alexander Albon,0
Bahrain,14,Daniel Ricciardo,0
Bahrain,15,Lando Norris,0
Bahrain,16,Nicholas Latifi,0
Bahrain,17,Nico Hulkenberg,0
Bahrain,18,Sergio Perez,0
Bahrain,19,Max Verstappen,0
Saudi Arabia,1,Max Verstappen,1
Saudi Arabia,2,Charles Leclerc,0
Saudi Arabia,3,Carlos Sainz,0
Saudi Arabia,4,Sergio Perez,0
Saudi Arabia,5,George Russell,0
Saudi Arabia,6,Esteban Ocon,0
Saudi Arabia,7,Lando Norris,0
Saudi Arabia,8,Pierre Gasly,0
Saudi Arabia,9,Kevin Magnussen,0
Saudi Arabia,10,Lewis Hamilton,0
Saudi Arabia,11,Guanyu Zhou,0
Saudi Arabia,12,Nico Hulkenberg,0
Saudi Arabia,13,Lance Stroll,0
Saudi Arabia,14,Alexander Albon,0
Australia,1,Charles Leclerc,1
Australia,2,Sergio Perez,0
Australia,3,George Russell,0
Australia,4,Lewis Hamilton,0
Australia,5,Lando Norris,0
Australia,6,Daniel Ricciardo,0
Australia,7,Esteban Ocon,0
Australia,8,Valtteri Bottas,0
Australia,9,Pierre Gasly,0
Australia,10,Alexander Albon,0
Australia,11,Guanyu Zhou,0
Australia,12,Lance Stroll,0
Australia,13,Mick Schumacher,0
Australia,14,Kevin Magnussen,0
Australia,15,Yuki Tsunoda,0
Australia,16,Nicholas Latifi,0
Australia,17,Fernando Alonso,0
Emilia Romagna,1,Max Verstappen,1
Emilia Romagna,2,Sergio Perez,0
Emilia Romagna,3,Lando Norris,0
Emilia Romagna,4,George Russell,0
Emilia Romagna,5,Valtteri Bottas,0
Emilia Romagna,6,Charles Leclerc,0
Emilia Romagna,7,Yuki Tsunoda,0
Emilia Romagna,8,Sebastian Vettel,0
Emilia Romagna,9,Kevin Magnussen,0
Emilia Romagna,10,Lance Stroll,0
Emilia Romagna,11,Alexander Albon,0
Emilia Romagna,12,Pierre Gasly,0
Emilia Romagna,13,Lewis Hamilton,0
Emilia Romagna,14,Esteban Ocon,0
Emilia Romagna,15,Guanyu Zhou,0
Emilia Romagna,16,Nicholas Latifi,0
Emilia Romagna,17,Mick Schumacher,0
Emilia Romagna,18,Daniel Ricciardo,0
Miami,1,Max Verstappen,1
Miami,2,Charles Leclerc,0
Miami,3,Carlos Sainz,0
Miami,4,Sergio Perez,0
Miami,5,George Russell,0
Miami,6,Lewis Hamilton,0
Miami,7,Valtteri Bottas,0
Miami,8,Esteban Ocon,0
Miami,9,Alexander Albon,0
Miami,10,Lance Stroll,0
Miami,11,Fernando Alonso,0
Miami,12,Yuki Tsunoda,0
Miami,13,Daniel Ricciardo,0
Miami,14,Nicholas Latifi,0
Miami,15,Mick Schumacher,0
Miami,16,Kevin Magnussen,0
Miami,17,Sebastian Vettel,0
