Track,Position,Driver,Win
Australia,1,Valtteri Bottas,1
Australia,2,Lewis Hamilton,0
Australia,3,Max Verstappen,0
Australia,4,Sebastian Vettel,0
Australia,5,Charles Leclerc,0
Australia,6,Kevin Magnussen,0
Australia,7,Nico Hulkenberg,0
Australia,8,Kimi Raikkönen,0
Australia,9,Lance Stroll,0
Australia,10,Daniil Kvyat,0
Australia,11,Pierre Gasly,0
Australia,12,Lando Norris,0
Australia,13,Sergio Perez,0
Australia,14,Alexander Albon,0
Australia,15,Antonio Giovinazzi,0
Australia,16,George Russell,0
Australia,17,Robert Kubica,0
Bahrain,1,Lewis Hamilton,1
Bahrain,2,Valtteri Bottas,0
Bahrain,3,Charles Leclerc,0
Bahrain,4,Max Verstappen,0
Bahrain,5,Sebastian Vettel,0
Bahrain,6,Lando Norris,0
Bahrain,7,Kimi Raikkönen,0
Bahrain,8,Pierre Gasly,0
Bahrain,9,Alexander Albon,0
Bahrain,10,Sergio Perez,0
Bahrain,11,Antonio Giovinazzi,0
Bahrain,12,Daniil Kvyat,0
Bahrain,13,Kevin Magnussen,0
Bahrain,14,Lance Stroll,0
Bahrain,15,George Russell,0
Bahrain,16,Robert Kubica,0
Bahrain,17,Nico Hulkenberg,0
Bahrain,18,Daniel Ricciardo,0
Bahrain,19,Carlos Sainz,0
China,1,Lewis Hamilton,1
China,2,Valtteri Bottas,0
China,3,Sebastian Vettel,0
China,4,Max Verstappen,0
China,5,Charles Leclerc,0
China,6,Pierre Gasly,0
China,7,Daniel Ricciardo,0
China,8,Sergio Perez,0
China,9,Kimi Raikkönen,0
China,10,Alexander Albon,0
China,11,Romain Grosjean,0
China,12,Lance Stroll,0
China,13,Kevin Magnussen,0
China,14,Carlos Sainz,0
China,15,Antonio Giovinazzi,0
China,16,George Russell,0
China,17,Robert Kubica,0
China,18,Lando Norris,0
Azerbaijan,1,Valtteri Bottas,1
Azerbaijan,2,Lewis Hamilton,0
Azerbaijan,3,Sebastian Vettel,0
Azerbaijan,4,Max Verstappen,0
Azerbaijan,5,Charles Leclerc,0
Azerbaijan,6,Sergio Perez,0
Azerbaijan,7,Carlos Sainz,0
Azerbaijan,8,Lando Norris,0
